# 多晶材料三角形网格信息文件 (晶界细密-晶粒粗糙版)
# 生成时间: 2025-03-31 18:48:04
#
# 参数设置:
# - 几何文件: equiaxed_grains_with_boundaries.geo
# - 输出网格文件: mix_mesh.msh
# - 晶粒网格尺寸: 0.02
# - 晶界网格尺寸: 0.0005
# - 过渡区域距离: 0.05
# - 优化时间限制: 60 秒
#
# 晶界区域生成细密三角形网格，晶粒区域生成粗糙三角形网格
# ==========================================

# ===== 网格统计 =====
# 总单元数: 795405
# 总三角形单元数: 556695
# 总四边形单元数: 238710
# 晶界区域三角形数: 515156 (64.77%)
# 晶界区域四边形数: 0 (0.0%)
# 晶粒区域三角形数: 41539 (5.22%)
# 晶粒区域四边形数: 238710 (30.01%)
# 晶粒区域四边形重组效率: 85.18%

# ===== 物理组网格统计 =====
# 物理组ID,物理组名称,三角形单元数,四边形单元数
60,Grain_79,763,2351
220,Boundary_86_1,1039,0
308,Boundary_7_5,610,0
67,Grain_9,74,2770
215,Boundary_36_3,1110,0
404,Boundary_30_5,880,0
612,Boundary_3_2,1591,0
665,Boundary_100_3,1165,0
544,Boundary_27_1,965,0
168,Boundary_47_1,877,0
364,Boundary_84_4,1290,0
431,Boundary_61_1,806,0
479,Boundary_9_5,1289,0
75,Grain_70,723,2346
111,Boundary_35_5,472,0
607,Boundary_87_5,583,0
517,Boundary_34_3,1008,0
66,Grain_44,699,2358
598,Boundary_76_5,1701,0
280,Boundary_19_2,1233,0
656,Boundary_59_3,815,0
374,Boundary_10_3,732,0
141,Boundary_1_3,1012,0
278,Boundary_77_6,2715,0
450,Boundary_15_4,702,0
477,Boundary_90_4,1934,0
135,Boundary_38_4,937,0
644,Boundary_54_1,1132,0
138,Boundary_78_3,790,0
555,Boundary_43_6,1083,0
655,Boundary_76_4,856,0
107,Boundary_63_6,825,0
541,Boundary_9_4,425,0
170,Boundary_5_3,552,0
238,Boundary_73_6,911,0
564,Boundary_54_5,1397,0
609,Boundary_32_4,739,0
22,Grain_62,623,2075
509,Boundary_39_4,784,0
391,Boundary_11_2,624,0
288,Boundary_22_4,721,0
507,Boundary_24_5,1191,0
400,Boundary_39_2,863,0
522,Boundary_62_2,1013,0
113,Boundary_76_1,945,0
283,Boundary_17_3,1128,0
309,Boundary_25_5,1270,0
55,Grain_26,124,2556
519,Boundary_14_5,928,0
265,Boundary_95_2,896,0
136,Boundary_79_2,941,0
117,Boundary_50_1,837,0
557,Boundary_42_2,911,0
218,Boundary_68_4,526,0
28,Grain_23,751,2298
84,Grain_37,745,2295
203,Boundary_46_5,845,0
292,Boundary_57_1,917,0
353,Boundary_43_3,908,0
232,Boundary_66_4,1247,0
240,Boundary_23_1,1081,0
147,Boundary_47_4,1081,0
415,Boundary_88_3,728,0
146,Boundary_53_4,871,0
628,Boundary_14_6,966,0
390,Boundary_43_2,828,0
380,Boundary_92_1,859,0
513,Boundary_76_3,1277,0
424,Boundary_31_1,895,0
193,Boundary_33_2,596,0
226,Boundary_77_4,1071,0
488,Boundary_6_1,1076,0
17,Grain_13,68,2380
271,Boundary_100_1,1155,0
335,Boundary_5_1,716,0
426,Boundary_13_5,851,0
577,Boundary_83_4,891,0
89,Grain_83,719,2218
214,Boundary_23_4,727,0
48,Grain_34,685,2234
493,Boundary_64_1,876,0
552,Boundary_81_1,974,0
134,Boundary_100_2,724,0
569,Boundary_91_5,611,0
473,Boundary_48_1,967,0
253,Boundary_19_3,1291,0
64,Grain_19,92,2638
394,Boundary_25_1,748,0
575,Boundary_10_6,745,0
410,Boundary_2_2,590,0
486,Boundary_62_3,1116,0
300,Boundary_92_5,691,0
171,Boundary_66_5,611,0
478,Boundary_17_6,610,0
216,Boundary_41_4,1393,0
108,Boundary_82_2,1568,0
382,Boundary_36_1,1151,0
124,Boundary_67_5,1218,0
654,Boundary_86_2,511,0
27,Grain_75,591,2091
273,Boundary_46_4,985,0
312,Boundary_22_1,1523,0
