# 多晶材料三角形网格信息文件 (晶界细密-晶粒粗糙版)
# 生成时间: 2025-03-31 23:52:13
#
# 参数设置:
# - 几何文件: equiaxed_grains_with_boundaries.geo
# - 输出网格文件: triangle_mesh.msh
# - 晶粒网格尺寸: 0.02
# - 晶界网格尺寸: 0.0005
# - 过渡区域距离: 0.05
# - 优化时间限制: 60 秒
#
# 晶界区域生成细密三角形网格，晶粒区域生成粗糙三角形网格
# ==========================================

# ===== 网格统计 =====
# 总三角形单元数: 1034115
# 晶界区域三角形数: 515156 (49.82%)
# 晶粒区域三角形数: 518959 (50.18%)

# ===== 物理组网格统计 =====
# 物理组ID,物理组名称,三角形单元数
609,Boundary_32_4,739
22,Grain_62,4773
509,Boundary_39_4,784
391,Boundary_11_2,624
288,Boundary_22_4,721
507,Boundary_24_5,1191
400,Boundary_39_2,863
522,Boundary_62_2,1013
113,Boundary_76_1,945
283,Boundary_17_3,1128
309,Boundary_25_5,1270
55,Grain_26,5236
519,Boundary_14_5,928
265,Boundary_95_2,896
136,Boundary_79_2,941
117,Boundary_50_1,837
557,Boundary_42_2,911
218,Boundary_68_4,526
28,Grain_23,5347
84,Grain_37,5335
203,Boundary_46_5,845
292,Boundary_57_1,917
353,Boundary_43_3,908
232,Boundary_66_4,1247
240,Boundary_23_1,1081
147,Boundary_47_4,1081
415,Boundary_88_3,728
146,Boundary_53_4,871
628,Boundary_14_6,966
390,Boundary_43_2,828
380,Boundary_92_1,859
513,Boundary_76_3,1277
424,Boundary_31_1,895
193,Boundary_33_2,596
226,Boundary_77_4,1071
488,Boundary_6_1,1076
17,Grain_13,4828
271,Boundary_100_1,1155
335,Boundary_5_1,716
426,Boundary_13_5,851
577,Boundary_83_4,891
89,Grain_83,5155
214,Boundary_23_4,727
48,Grain_34,5153
493,Boundary_64_1,876
552,Boundary_81_1,974
134,Boundary_100_2,724
569,Boundary_91_5,611
473,Boundary_48_1,967
253,Boundary_19_3,1291
64,Grain_19,5368
394,Boundary_25_1,748
575,Boundary_10_6,745
410,Boundary_2_2,590
486,Boundary_62_3,1116
300,Boundary_92_5,691
171,Boundary_66_5,611
478,Boundary_17_6,610
216,Boundary_41_4,1393
108,Boundary_82_2,1568
382,Boundary_36_1,1151
124,Boundary_67_5,1218
654,Boundary_86_2,511
27,Grain_75,4773
273,Boundary_46_4,985
312,Boundary_22_1,1523
290,Boundary_74_2,1395
20,Grain_86,4896
81,Grain_24,5358
398,Boundary_9_3,2002
9,Grain_32,4942
189,Boundary_67_4,711
409,Boundary_28_6,762
249,Boundary_82_1,1305
395,Boundary_95_1,967
372,Boundary_93_4,1031
88,Grain_47,5287
260,Boundary_84_2,1282
37,Grain_82,5338
121,Boundary_42_1,697
311,Boundary_1_1,1480
281,Boundary_66_6,742
636,Boundary_67_2,792
620,Boundary_54_4,411
174,Boundary_72_2,1220
634,Boundary_75_3,853
496,Boundary_48_6,826
322,Boundary_6_3,1191
269,Boundary_45_5,1013
550,Boundary_50_2,934
262,Boundary_59_1,815
320,Boundary_33_1,850
635,Boundary_38_5,891
151,Boundary_21_1,910
244,Boundary_100_4,979
434,Boundary_93_6,905
277,Boundary_16_2,1161
377,Boundary_80_5,1255
549,Boundary_34_2,777
34,Grain_68,5507
50,Grain_59,5271
243,Boundary_68_1,434
194,Boundary_65_1,797
301,Boundary_36_5,1632
458,Boundary_89_1,864
572,Boundary_53_3,939
106,Boundary_68_2,870
600,Boundary_60_3,438
102,Grain_97,5105
259,Boundary_31_3,1155
379,Boundary_51_5,497
21,Grain_91,4949
440,Boundary_52_5,462
192,Boundary_73_4,948
362,Boundary_55_6,1226
47,Grain_76,5536
407,Boundary_29_4,926
178,Boundary_1_2,1020
387,Boundary_15_5,924
306,Boundary_72_1,1270
472,Boundary_81_5,819
155,Boundary_18_7,572
293,Boundary_89_3,939
499,Boundary_97_6,957
73,Grain_46,5142
251,Boundary_77_1,571
115,Boundary_60_5,430
112,Boundary_91_6,1143
584,Boundary_88_1,810
86,Grain_53,5050
207,Boundary_73_1,760
518,Boundary_50_3,1103
