# 多晶材料结构化网格信息文件 (晶粒算法8优化版)
# 生成时间: 2025-03-31 23:35:19
#
# 参数设置:
# - 几何文件: equiaxed_grains_with_boundaries.geo
# - 输出网格文件: quad_domi_mesh.msh
# - 晶粒网格尺寸: 0.02
# - 晶界网格尺寸: 0.0005
# - 过渡区域距离: 0.05
# - 优化时间限制: 60 秒
#
# 晶界区域使用算法6(Frontal-Delaunay)，晶粒内部使用算法8(Delaunay for Quads)
# ==========================================
# 四边形晶界数: 567, 非四边形晶界数: 0

# ===== 网格统计 =====
# 总网格单元数: 638089
# 四边形比例: 95.16%
# 晶界区域(算法6)四边形比例: 100.0%
# 晶粒内部(算法8)四边形比例: 88.96%

# ===== Transfinite表面设置结果 =====
# 表面ID,设置结果,原因,识别方法
493,Boundary_64_1,488,0,100.0
552,Boundary_81_1,572,0,100.0
134,Boundary_100_2,530,0,100.0
569,Boundary_91_5,376,0,100.0
473,Boundary_48_1,588,0,100.0
253,Boundary_19_3,980,0,100.0
64,Grain_19,2417,709,77.32
394,Boundary_25_1,420,0,100.0
575,Boundary_10_6,456,0,100.0
410,Boundary_2_2,344,0,100.0
486,Boundary_62_3,775,0,100.0
300,Boundary_92_5,424,0,100.0
171,Boundary_66_5,372,0,100.0
478,Boundary_17_6,435,0,100.0
216,Boundary_41_4,1254,0,100.0
108,Boundary_82_2,1362,0,100.0
382,Boundary_36_1,835,0,100.0
124,Boundary_67_5,905,0,100.0
654,Boundary_86_2,395,0,100.0
27,Grain_75,2419,0,100.0
273,Boundary_46_4,600,0,100.0
312,Boundary_22_1,1380,0,100.0
290,Boundary_74_2,1272,0,100.0
20,Grain_86,2531,0,100.0
81,Grain_24,2670,0,100.0
398,Boundary_9_3,1770,0,100.0
9,Grain_32,2460,0,100.0
189,Boundary_67_4,545,0,100.0
409,Boundary_28_6,444,0,100.0
249,Boundary_82_1,1170,0,100.0
395,Boundary_95_1,864,0,100.0
372,Boundary_93_4,628,0,100.0
88,Grain_47,2371,701,77.18
260,Boundary_84_2,970,0,100.0
37,Grain_82,2360,715,76.75
121,Boundary_42_1,535,0,100.0
311,Boundary_1_1,1050,0,100.0
281,Boundary_66_6,420,0,100.0
636,Boundary_67_2,580,0,100.0
620,Boundary_54_4,320,0,100.0
174,Boundary_72_2,1098,0,100.0
634,Boundary_75_3,650,0,100.0
496,Boundary_48_6,480,0,100.0
322,Boundary_6_3,905,0,100.0
269,Boundary_45_5,760,0,100.0
550,Boundary_50_2,675,0,100.0
262,Boundary_59_1,702,0,100.0
320,Boundary_33_1,516,0,100.0
635,Boundary_38_5,540,0,100.0
151,Boundary_21_1,670,0,100.0
244,Boundary_100_4,730,0,100.0
434,Boundary_93_6,552,0,100.0
277,Boundary_16_2,875,0,100.0
377,Boundary_80_5,756,0,100.0
549,Boundary_34_2,476,0,100.0
34,Grain_68,2477,723,77.41
50,Grain_59,2678,0,100.0
243,Boundary_68_1,256,0,100.0
194,Boundary_65_1,610,0,100.0
301,Boundary_36_5,1190,0,100.0
458,Boundary_89_1,615,0,100.0
572,Boundary_53_3,572,0,100.0
106,Boundary_68_2,488,0,100.0
600,Boundary_60_3,335,0,100.0
102,Grain_97,2546,0,100.0
259,Boundary_31_3,875,0,100.0
379,Boundary_51_5,308,0,100.0
21,Grain_91,2524,0,100.0
440,Boundary_52_5,272,0,100.0
192,Boundary_73_4,524,0,100.0
362,Boundary_55_6,724,0,100.0
47,Grain_76,2462,707,77.69
407,Boundary_29_4,528,0,100.0
178,Boundary_1_2,765,0,100.0
387,Boundary_15_5,516,0,100.0
306,Boundary_72_1,1134,0,100.0
472,Boundary_81_5,500,0,100.0
155,Boundary_18_7,332,0,100.0
293,Boundary_89_3,715,0,100.0
499,Boundary_97_6,584,0,100.0
73,Grain_46,2271,683,76.88
251,Boundary_77_1,528,0,100.0
115,Boundary_60_5,330,0,100.0
112,Boundary_91_6,696,0,100.0
584,Boundary_88_1,472,0,100.0
86,Grain_53,2543,0,100.0
207,Boundary_73_1,444,0,100.0
518,Boundary_50_3,780,0,100.0
651,Boundary_66_3,420,0,100.0
465,Boundary_83_2,416,0,100.0
430,Boundary_37_3,850,0,100.0
669,Boundary_75_2,795,0,100.0
23,Grain_58,2513,0,100.0
264,Boundary_25_2,460,0,100.0
41,Grain_77,2899,875,76.82
68,Grain_31,2410,0,100.0
130,Boundary_70_4,1065,0,100.0
125,Boundary_59_2,810,0,100.0
666,Boundary_79_3,615,0,100.0
339,Boundary_4_3,790,0,100.0
336,Boundary_31_5,905,0,100.0
343,Boundary_29_5,508,0,100.0
468,Boundary_51_1,424,0,100.0
100,Grain_15,2698,0,100.0
230,Boundary_22_5,1116,0,100.0
639,Boundary_41_3,1110,0,100.0
195,Boundary_40_2,476,0,100.0
659,Boundary_50_4,680,0,100.0
388,Boundary_97_5,388,0,100.0
578,Boundary_99_4,845,0,100.0
222,Boundary_15_7,488,0,100.0
276,Boundary_68_6,296,0,100.0
381,Boundary_52_2,448,0,100.0
247,Boundary_40_5,160,0,100.0
663,Boundary_42_4,665,0,100.0
560,Boundary_88_4,604,0,100.0
532,Boundary_69_1,845,0,100.0
184,Boundary_61_7,732,0,100.0
137,Boundary_49_1,424,0,100.0
435,Boundary_9_2,1038,0,100.0
427,Boundary_74_1,1218,0,100.0
237,Boundary_75_1,550,0,100.0
529,Boundary_64_6,472,0,100.0
270,Boundary_93_2,528,0,100.0
33,Grain_36,2744,0,100.0
254,Boundary_71_1,725,0,100.0
482,Boundary_4_4,670,0,100.0
165,Boundary_77_5,246,0,100.0
527,Boundary_87_3,840,0,100.0
142,Boundary_94_1,612,0,100.0
416,Boundary_64_5,476,0,100.0
5,Grain_35,2565,0,100.0
45,Grain_71,2484,0,100.0
418,Boundary_20_2,372,0,100.0
449,Boundary_48_4,516,0,100.0
282,Boundary_72_4,1332,0,100.0
556,Boundary_11_6,970,0,100.0
530,Boundary_43_1,384,0,100.0
393,Boundary_7_1,420,0,100.0
437,Boundary_99_3,975,0,100.0
590,Boundary_38_2,452,0,100.0
148,Boundary_87_6,2178,0,100.0
623,Boundary_56_2,725,0,100.0
36,Grain_98,2513,0,100.0
7,Grain_60,2421,725,76.95
25,Grain_12,2292,675,77.25
95,Grain_96,2349,723,76.46
296,Boundary_80_3,344,0,100.0
476,Boundary_64_4,616,0,100.0
341,Boundary_97_2,444,0,100.0
287,Boundary_1_4,480,0,100.0
19,Grain_63,2626,0,100.0
583,Boundary_96_3,440,0,100.0
44,Grain_95,2854,2,99.93
266,Boundary_61_3,372,0,100.0
31,Grain_43,2327,655,78.03
29,Grain_92,2617,0,100.0
303,Boundary_48_3,536,0,100.0
576,Boundary_27_6,512,0,100.0
159,Boundary_57_2,535,0,100.0
463,Boundary_30_4,556,0,100.0
360,Boundary_39_3,372,0,100.0
101,Grain_65,2094,651,76.28
520,Boundary_52_1,448,0,100.0
462,Boundary_10_5,560,0,100.0
246,Boundary_79_4,680,0,100.0
618,Boundary_83_6,708,0,100.0
97,Grain_33,2405,687,77.78
402,Boundary_93_1,400,0,100.0
413,Boundary_92_6,616,0,100.0
110,Boundary_56_5,925,0,100.0
501,Boundary_11_4,920,0,100.0
30,Grain_41,2716,4,99.85
648,Boundary_62_1,555,0,100.0
234,Boundary_59_4,912,0,100.0
614,Boundary_49_5,452,0,100.0
272,Boundary_79_1,1055,0,100.0
182,Boundary_96_1,460,0,100.0
164,Boundary_65_4,715,0,100.0
470,Boundary_14_2,452,0,100.0
267,Boundary_29_3,292,0,100.0
629,Boundary_60_2,595,0,100.0
359,Boundary_64_2,420,0,100.0
4,Grain_56,2171,601,78.32
328,Boundary_40_1,396,0,100.0
630,Boundary_70_5,630,0,100.0
11,Grain_67,2492,0,100.0
69,Grain_74,2591,0,100.0
119,Boundary_66_2,432,0,100.0
495,Boundary_96_7,600,0,100.0
307,Boundary_97_3,368,0,100.0
144,Boundary_34_6,620,0,100.0
257,Boundary_66_1,656,0,100.0
352,Boundary_40_6,728,0,100.0
200,Boundary_86_4,820,0,100.0
187,Boundary_45_3,905,0,100.0
213,Boundary_92_3,608,0,100.0
647,Boundary_91_1,424,0,100.0
227,Boundary_95_3,1086,0,100.0
109,Boundary_49_4,524,0,100.0
445,Boundary_11_5,440,0,100.0
453,Boundary_97_4,624,0,100.0
120,Boundary_58_6,544,0,100.0
498,Boundary_90_1,665,0,100.0
562,Boundary_68_7,256,0,100.0
297,Boundary_51_3,420,0,100.0
24,Grain_52,2592,0,100.0
464,Boundary_27_5,460,0,100.0
433,Boundary_17_4,865,0,100.0
447,Boundary_85_5,820,0,100.0
314,Boundary_55_4,552,0,100.0
480,Boundary_54_3,820,0,100.0
633,Boundary_21_5,745,0,100.0
566,Boundary_49_2,480,0,100.0
315,Boundary_93_5,460,0,100.0
268,Boundary_26_1,540,0,100.0
497,Boundary_15_6,408,0,100.0
32,Grain_11,2481,689,78.26
471,Boundary_20_5,528,0,100.0
239,Boundary_33_5,680,0,100.0
567,Boundary_24_4,882,0,100.0
191,Boundary_38_6,432,0,100.0
661,Boundary_26_3,544,0,100.0
150,Boundary_12_5,780,0,100.0
199,Boundary_60_1,760,0,100.0
361,Boundary_5_6,288,0,100.0
98,Grain_40,2603,0,100.0
621,Boundary_63_4,724,0,100.0
411,Boundary_10_2,448,0,100.0
310,Boundary_95_5,1860,0,100.0
169,Boundary_71_5,690,0,100.0
180,Boundary_60_4,870,0,100.0
653,Boundary_5_7,572,0,100.0
542,Boundary_2_1,576,0,100.0
428,Boundary_24_3,1332,0,100.0
347,Boundary_33_6,360,0,100.0
332,Boundary_90_3,935,0,100.0
375,Boundary_28_1,372,0,100.0
229,Boundary_1_5,870,0,100.0
163,Boundary_49_6,576,0,100.0
625,Boundary_32_1,575,0,100.0
338,Boundary_15_2,376,0,100.0
467,Boundary_99_2,835,0,100.0
3,Grain_5,2578,0,100.0
96,Grain_51,2640,0,100.0
504,Boundary_85_4,635,0,100.0
35,Grain_69,2693,0,100.0
657,Boundary_58_1,660,0,100.0
348,Boundary_52_3,524,0,100.0
417,Boundary_19_1,900,0,100.0
333,Boundary_48_2,352,0,100.0
506,Boundary_13_1,650,0,100.0
603,Boundary_53_2,408,0,100.0
376,Boundary_27_3,444,0,100.0
12,Grain_45,2456,0,100.0
82,Grain_8,2632,0,100.0
71,Grain_29,2680,0,100.0
208,Boundary_28_3,456,0,100.0
521,Boundary_91_2,356,0,100.0
26,Grain_28,2366,691,77.4
127,Boundary_57_3,780,0,100.0
571,Boundary_37_4,895,0,100.0
565,Boundary_63_5,432,0,100.0
389,Boundary_84_1,815,0,100.0
295,Boundary_29_2,392,0,100.0
57,Grain_42,2195,655,77.02
619,Boundary_86_3,870,0,100.0
475,Boundary_97_1,560,0,100.0
511,Boundary_83_5,280,0,100.0
397,Boundary_19_4,445,0,100.0
129,Boundary_26_2,456,0,100.0
78,Grain_88,2651,0,100.0
133,Boundary_98_6,576,0,100.0
258,Boundary_55_5,308,0,100.0
72,Grain_94,2601,0,100.0
252,Boundary_36_2,445,0,100.0
579,Boundary_58_5,296,0,100.0
313,Boundary_5_4,556,0,100.0
604,Boundary_14_1,416,0,100.0
588,Boundary_98_5,288,0,100.0
354,Boundary_11_3,340,0,100.0
299,Boundary_33_4,276,0,100.0
345,Boundary_45_1,715,0,100.0
573,Boundary_47_3,1446,0,100.0
516,Boundary_63_2,464,0,100.0
231,Boundary_71_4,755,0,100.0
432,Boundary_29_1,544,0,100.0
114,Boundary_77_2,804,0,100.0
624,Boundary_35_2,476,0,100.0
275,Boundary_57_4,670,0,100.0
337,Boundary_55_1,576,0,100.0
363,Boundary_90_2,325,0,100.0
378,Boundary_18_4,300,0,100.0
176,Boundary_35_4,560,0,100.0
469,Boundary_6_4,600,0,100.0
451,Boundary_39_5,604,0,100.0
553,Boundary_70_3,720,0,100.0
157,Boundary_38_1,536,0,100.0
582,Boundary_14_4,464,0,100.0
392,Boundary_69_2,885,0,100.0
370,Boundary_13_2,700,0,100.0
16,Grain_4,2104,615,77.38
622,Boundary_94_5,348,0,100.0
489,Boundary_51_6,628,0,100.0
74,Grain_57,2188,633,77.56
228,Boundary_60_6,1105,0,100.0
580,Boundary_94_2,336,0,100.0
105,Boundary_41_2,1596,0,100.0
399,Boundary_44_4,438,0,100.0
421,Boundary_44_1,1380,0,100.0
166,Boundary_78_2,564,0,100.0
585,Boundary_20_6,376,0,100.0
668,Boundary_98_1,536,0,100.0
274,Boundary_18_2,380,0,100.0
15,Grain_90,2665,815,76.58
538,Boundary_39_1,272,0,100.0
6,Grain_55,2622,0,100.0
219,Boundary_82_4,1176,0,100.0
153,Boundary_75_5,845,0,100.0
139,Boundary_72_3,1074,0,100.0
13,Grain_73,2190,667,76.65
405,Boundary_18_1,592,0,100.0
104,Boundary_65_5,755,0,100.0
524,Boundary_10_4,644,0,100.0
640,Boundary_73_2,560,0,100.0
302,Boundary_78_1,372,0,100.0
43,Grain_25,2268,689,76.7
539,Boundary_49_3,428,0,100.0
646,Boundary_77_3,804,0,100.0
39,Grain_39,2384,717,76.88
126,Boundary_46_3,512,0,100.0
441,Boundary_89_4,660,0,100.0
443,Boundary_51_4,776,0,100.0
156,Boundary_23_5,685,0,100.0
439,Boundary_14_3,160,0,100.0
344,Boundary_8_7,376,0,100.0
346,Boundary_30_2,512,0,100.0
294,Boundary_61_2,308,0,100.0
512,Boundary_30_6,476,0,100.0
481,Boundary_63_3,344,0,100.0
161,Boundary_68_5,604,0,100.0
531,Boundary_11_1,930,0,100.0
383,Boundary_20_3,480,0,100.0
401,Boundary_31_4,520,0,100.0
209,Boundary_80_7,644,0,100.0
323,Boundary_89_2,795,0,100.0
545,Boundary_94_3,532,0,100.0
8,Grain_30,2219,659,77.1
83,Grain_17,2412,731,76.74
201,Boundary_5_2,428,0,100.0
99,Grain_48,2527,0,100.0
593,Boundary_8_1,652,0,100.0
554,Boundary_21_3,760,0,100.0
491,Boundary_52_4,560,0,100.0
386,Boundary_48_5,464,0,100.0
602,Boundary_50_5,780,0,100.0
461,Boundary_2_5,332,0,100.0
334,Boundary_44_5,1068,0,100.0
586,Boundary_81_6,508,0,100.0
423,Boundary_25_6,268,0,100.0
627,Boundary_62_4,650,0,100.0
510,Boundary_37_5,265,0,100.0
559,Boundary_38_3,448,0,100.0
210,Boundary_12_4,490,0,100.0
63,Grain_81,2598,0,100.0
91,Grain_89,2509,0,100.0
173,Boundary_94_6,564,0,100.0
256,Boundary_5_5,424,0,100.0
188,Boundary_100_5,615,0,100.0
355,Boundary_92_4,480,0,100.0
235,Boundary_12_1,585,0,100.0
204,Boundary_67_1,745,0,100.0
568,Boundary_8_4,368,0,100.0
384,Boundary_81_3,508,0,100.0
371,Boundary_89_5,875,0,100.0
76,Grain_21,2154,637,77.18
167,Boundary_53_1,464,0,100.0
42,Grain_7,2810,0,100.0
132,Boundary_28_7,500,0,100.0
140,Boundary_86_5,805,0,100.0
605,Boundary_47_2,786,0,100.0
442,Boundary_80_4,336,0,100.0
652,Boundary_47_5,696,0,100.0
255,Boundary_44_3,1050,0,100.0
291,Boundary_26_6,604,0,100.0
452,Boundary_17_1,615,0,100.0
94,Grain_80,2756,0,100.0
225,Boundary_25_3,492,0,100.0
128,Boundary_73_5,420,0,100.0
350,Boundary_6_2,460,0,100.0
70,Grain_61,2823,0,100.0
38,Grain_85,2192,607,78.31
326,Boundary_80_2,508,0,100.0
561,Boundary_39_6,336,0,100.0
221,Boundary_84_3,870,0,100.0
175,Boundary_56_4,610,0,100.0
546,Boundary_32_5,875,0,100.0
611,Boundary_73_3,396,0,100.0
613,Boundary_96_2,296,0,100.0
459,Boundary_37_2,825,0,100.0
149,Boundary_70_1,730,0,100.0
641,Boundary_68_3,432,0,100.0
65,Grain_49,2197,625,77.85
298,Boundary_28_5,584,0,100.0

# 晶界区域四边形比例良好 (100.0%)

# 警告: 晶粒内部四边形比例较低 (88.96%)

# 网格文件保存到: quad_domi_mesh.msh
# VTK格式保存到: quad_domi_mesh.vtk
# Abaqus INP格式保存到: quad_domi_mesh.inp
# 总优化时间: 290.05s (限制: 60s)
# 总用时: 369.04s
